Locality,Household_size,Western,Central,Greater Accra,Volta,Eastern,Ashanti,Western North,Ahafo,Bono,Bono East,Oti,Northern,Savannah,North East,Upper East,Upper West
Rural,1 Person,88359,102370,31124,80499,122827,160642,42839,18331,27715,23707,23991,13446,13548,3672,17253,16574
Rural,2 Persons,47032,52302,18187,45221,65868,81848,23078,9897,15474,13868,13951,16423,9966,4823,18487,13704
Rural,3 Persons,39507,45877,17040,40315,56557,72184,20561,9076,15212,14865,14150,24238,11061,7365,24333,16188
Rural,4 Persons,34857,42519,16749,35498,51033,67302,19581,8865,15007,15110,13674,25303,11093,8124,27746,16772
Rural,5 Persons,28739,35243,14533,27810,41510,58752,17492,8080,13418,14362,12128,24844,10294,8451,28093,16050
Rural,6 Persons,20932,26064,10426,19304,29837,45656,14123,6660,11220,12147,10148,22682,8662,8511,24296,14425
Rural,7 Persons,13791,16874,6268,11827,18780,30999,9946,4809,7681,9305,7823,19148,6960,7482,17740,11131
Rural,8 Persons,8272,10033,3527,6989,11086,19264,6373,3008,5102,6470,5376,14660,4974,5972,11397,7698
Rural,9 Persons,4647,5558,2091,4034,6415,11233,3599,1796,3285,4284,3589,10931,3520,4201,7027,5113
Rural,10 Persons +,6705,7525,3280,6391,9441,18163,5326,2782,6092,9044,7889,30051,9479,11321,12912,11558
Urban,1 Person,108886,156678,481275,69508,162714,299313,26740,27064,60988,46013,17463,47405,10265,5742,14974,16388
Urban,2 Persons,52984,79223,277205,36856,78821,148805,11519,11739,30684,22931,8593,27821,5471,3464,9302,8901
Urban,3 Persons,44714,68038,230590,31303,64496,128241,9604,10096,26335,22251,7946,32834,5749,4206,10578,8877
Urban,4 Persons,39927,61764,209056,26743,55214,116538,8478,9170,23551,20108,7134,30209,5010,4259,10611,7999
Urban,5 Persons,32537,50620,166817,20004,43506,97125,6871,7365,19682,17406,5915,26284,4531,4185,9417,6648
Urban,6 Persons,22025,34237,103589,12584,28097,69703,5183,5455,13828,12991,4563,21031,3572,3974,7306,4791
Urban,7 Persons,12654,19737,52956,7103,15666,41443,3341,3466,8669,8668,3130,14904,2684,3252,4794,2950
Urban,8 Persons,6632,10545,26285,3791,8371,23359,2114,2023,5171,5465,2148,10230,1838,2380,2990,1734
Urban,9 Persons,3457,5406,12982,2124,4361,12550,1237,1171,3072,3318,1418,7009,1268,1777,1706,931
Urban,10 Persons +,4690,7841,18177,3444,6695,19946,2081,1936,5808,6412,3002,18464,3162,4927,3433,1756
